method,Return_mean,Return_ci95,phi_mean,phi_ci95,phi_focus_mean,phi_focus_ci95,miss_URG_mean,miss_URG_ci95,cost_mean,cost_ci95,secureFailPen_mean,secureFailPen_ci95,backlogw_mean,backlogw_ci95
Dynamic,402.7649550707132,15.618044553081912,0.8088975040967861,0.0025259195067641334,0.8088975040967861,0.0025259195067641334,0.008409437041384577,0.0007068705345001988,7.068568402682525,0.31201314671484165,0.010456628981714476,0.0025564353114361994,0.03930580855828217,0.0012817261298289956
Fixed-164,416.2372628157967,15.652152672624984,0.8105240357286708,0.0023502122090742934,0.8105240357286708,0.0023502122090742934,0.00789204164330787,0.00071187474766314,6.834098779412736,0.3146355524779506,0.011218828658756319,0.0025620996261138096,0.038731002791411,0.0012856998363541467
Fixed-333,407.342411673871,13.72948428296872,0.8107650220974557,0.0024222362361682073,0.8107650220974557,0.0024222362361682073,0.00806615963452637,0.0006998060179633914,7.007386788620035,0.2783694387796855,0.010006257787037566,0.0024309305490868957,0.03853303938650303,0.00131140575181198
Fixed-631,418.3101803603003,14.526745066138604,0.8136379389952527,0.0020766024964673467,0.8136379389952527,0.0020766024964673467,0.008223529590917364,0.0006472024948032222,6.792059331789248,0.2910147111114742,0.010693143582586488,0.002568466580653516,0.03864133619631897,0.0012777622778089113
